algorithm,threads,hashbits,buckets,data_size,duration,cores,memory
count-then-move,16,18,262144,16777216,439,32,114191548416
count-then-move,32,18,262144,16777216,285,32,114142195712
count-then-move,1,1,2,16777216,6122,32,113894633472
count-then-move,2,1,2,16777216,4291,32,113786621952
count-then-move,4,1,2,16777216,2463,32,113648893952
count-then-move,8,1,2,16777216,2135,32,113362001920
count-then-move,16,1,2,16777216,1387,32,113395564544
count-then-move,32,1,2,16777216,1034,32,113497579520
count-then-move,1,2,4,16777216,7582,32,113412734976
count-then-move,2,2,4,16777216,3519,32,78642765824
count-then-move,4,2,4,16777216,2544,32,79781404672
count-then-move,8,2,4,16777216,1728,32,80730292224
count-then-move,16,2,4,16777216,1468,32,82239455232
count-then-move,32,2,4,16777216,1010,32,88945840128
count-then-move,1,3,8,16777216,6748,32,101761064960
count-then-move,2,3,8,16777216,3399,32,78467379200
count-then-move,4,3,8,16777216,1763,32,78597980160
count-then-move,8,3,8,16777216,1385,32,78837899264
count-then-move,16,3,8,16777216,1177,32,78685626368
count-then-move,32,3,8,16777216,647,32,78637604864
count-then-move,1,4,16,16777216,3147,32,78603567104
count-then-move,2,4,16,16777216,2968,32,78854385664
count-then-move,4,4,16,16777216,1656,32,79013359616
count-then-move,8,4,16,16777216,977,32,79226388480
count-then-move,16,4,16,16777216,1177,32,79192526848
count-then-move,32,4,16,16777216,620,32,79070113792
count-then-move,1,5,32,16777216,3543,32,78925971456
count-then-move,2,5,32,16777216,3079,32,78996455424
count-then-move,4,5,32,16777216,1741,32,79008268288
count-then-move,8,5,32,16777216,1036,32,79064825856
count-then-move,16,5,32,16777216,675,32,79211356160
count-then-move,32,5,32,16777216,629,32,79138594816
count-then-move,1,6,64,16777216,3206,32,79222562816
count-then-move,2,6,64,16777216,2715,32,79278551040
count-then-move,4,6,64,16777216,1650,32,79307153408
count-then-move,8,6,64,16777216,992,32,79214358528
count-then-move,16,6,64,16777216,675,32,79097360384
count-then-move,32,6,64,16777216,501,32,79071612928
count-then-move,1,7,128,16777216,3213,32,79156310016
count-then-move,2,7,128,16777216,2480,32,79100649472
count-then-move,4,7,128,16777216,1603,32,79118098432
count-then-move,8,7,128,16777216,919,32,79081156608
count-then-move,16,7,128,16777216,654,32,79026098176
count-then-move,32,7,128,16777216,367,32,79194140672
count-then-move,1,8,256,16777216,3186,32,78964862976
count-then-move,2,8,256,16777216,2432,32,78854037504
count-then-move,4,8,256,16777216,1469,32,78859894784
count-then-move,8,8,256,16777216,909,32,79073382400
count-then-move,16,8,256,16777216,525,32,79013576704
count-then-move,32,8,256,16777216,355,32,79023071232
count-then-move,1,9,512,16777216,3223,32,78944006144
count-then-move,2,9,512,16777216,2285,32,78862254080
count-then-move,4,9,512,16777216,1484,32,79054524416
count-then-move,8,9,512,16777216,779,32,78733553664
count-then-move,16,9,512,16777216,472,32,78862512128
count-then-move,32,9,512,16777216,276,32,78572683264
count-then-move,1,10,1024,16777216,3247,32,78582419456
count-then-move,2,10,1024,16777216,2366,32,78710525952
