algorithm,threads,hashbits,buckets,data_size,duration,cores,memory
count-then-move,4,18,262144,16777216,2855,32,13039620096
count-then-move,8,18,262144,16777216,2061,32,12994002944
count-then-move,16,18,262144,16777216,1799,32,13249507328
count-then-move,32,18,262144,16777216,1621,32,13299957760
count-then-move,1,1,2,16777216,4792,32,12758265856
count-then-move,2,1,2,16777216,5311,32,12676755456
count-then-move,4,1,2,16777216,3510,32,12805369856
count-then-move,8,1,2,16777216,3245,32,12797239296
count-then-move,16,1,2,16777216,3001,32,12726665216
count-then-move,32,1,2,16777216,2468,32,12669308928
count-then-move,1,2,4,16777216,4675,32,12553744384
count-then-move,2,2,4,16777216,5144,32,12624506880
count-then-move,4,2,4,16777216,3212,32,12580519936
count-then-move,8,2,4,16777216,3031,32,12621025280
count-then-move,16,2,4,16777216,2718,32,12581494784
count-then-move,32,2,4,16777216,2175,32,12510683136
count-then-move,1,3,8,16777216,4542,32,12436205568
count-then-move,2,3,8,16777216,4938,32,12705329152
count-then-move,4,3,8,16777216,3168,32,12635545600
count-then-move,8,3,8,16777216,2643,32,12762898432
count-then-move,16,3,8,16777216,2551,32,12798693376
count-then-move,32,3,8,16777216,2054,32,13072031744
count-then-move,1,4,16,16777216,4472,32,13021519872
count-then-move,2,4,16,16777216,4854,32,13293400064
count-then-move,4,4,16,16777216,3031,32,13266292736
count-then-move,8,4,16,16777216,2505,32,13181198336
count-then-move,16,4,16,16777216,2360,32,13321232384
count-then-move,32,4,16,16777216,2010,32,13417295872
count-then-move,1,5,32,16777216,4482,32,13232111616
count-then-move,2,5,32,16777216,4230,32,13410672640
count-then-move,4,5,32,16777216,2986,32,13357662208
count-then-move,8,5,32,16777216,2385,32,13561204736
count-then-move,16,5,32,16777216,2288,32,13177073664
count-then-move,32,5,32,16777216,1877,32,13126381568
count-then-move,1,6,64,16777216,4487,32,13011169280
count-then-move,2,6,64,16777216,4002,32,13054709760
count-then-move,4,6,64,16777216,2950,32,13017743360
count-then-move,8,6,64,16777216,2232,32,12924399616
count-then-move,16,6,64,16777216,1962,32,12798136320
count-then-move,32,6,64,16777216,1744,32,13015846912
count-then-move,1,7,128,16777216,4482,32,12943511552
count-then-move,2,7,128,16777216,3749,32,12905050112
count-then-move,4,7,128,16777216,2823,32,12941082624
count-then-move,8,7,128,16777216,2232,32,13155307520
count-then-move,16,7,128,16777216,1816,32,13058023424
count-then-move,32,7,128,16777216,1661,32,12841005056
count-then-move,1,8,256,16777216,4454,32,12806873088
count-then-move,2,8,256,16777216,3684,32,12824436736
count-then-move,4,8,256,16777216,2754,32,12732018688
count-then-move,8,8,256,16777216,2192,32,12826906624
count-then-move,16,8,256,16777216,1772,32,13088559104
count-then-move,32,8,256,16777216,1575,32,13357158400
count-then-move,1,9,512,16777216,4492,32,13048250368
count-then-move,2,9,512,16777216,3533,32,13128126464
count-then-move,4,9,512,16777216,2758,32,13261832192
count-then-move,8,9,512,16777216,2153,32,13424574464
count-then-move,16,9,512,16777216,1721,32,13085990912
count-then-move,32,9,512,16777216,1523,32,13184466944
count-then-move,1,10,1024,16777216,4514,32,12810473472
count-then-move,2,10,1024,16777216,3641,32,12911575040
count-then-move,4,10,1024,16777216,2846,32,13025214464
count-then-move,8,10,1024,16777216,2081,32,12934664192
count-then-move,16,10,1024,16777216,1738,32,12844470272
count-then-move,32,10,1024,16777216,1534,32,12739878912
count-then-move,1,11,2048,16777216,4771,32,12607512576
count-then-move,2,11,2048,16777216,3707,32,12764753920
count-then-move,4,11,2048,16777216,2912,32,12826288128
count-then-move,8,11,2048,16777216,2076,32,12798410752
count-then-move,16,11,2048,16777216,1686,32,12580978688
count-then-move,32,11,2048,16777216,1531,32,12813537280
count-then-move,1,12,4096,16777216,4442,32,13055913984
count-then-move,2,12,4096,16777216,3547,32,12925014016
count-then-move,4,12,4096,16777216,2683,32,13213323264
count-then-move,8,12,4096,16777216,2077,32,13287968768
count-then-move,16,12,4096,16777216,1718,32,13191348224
count-then-move,32,12,4096,16777216,1527,32,13491863552
count-then-move,1,13,8192,16777216,4495,32,13488553984
count-then-move,2,13,8192,16777216,3393,32,13501956096
count-then-move,4,13,8192,16777216,2733,32,13383716864
count-then-move,8,13,8192,16777216,2009,32,13310988288
count-then-move,16,13,8192,16777216,1716,32,13182091264
count-then-move,32,13,8192,16777216,1518,32,13202411520
count-then-move,1,14,16384,16777216,4500,32,13283082240
count-then-move,2,14,16384,16777216,3415,32,13432352768
count-then-move,4,14,16384,16777216,2677,32,13567815680
count-then-move,8,14,16384,16777216,2035,32,13526564864
count-then-move,16,14,16384,16777216,1718,32,13676691456
count-then-move,32,14,16384,16777216,1524,32,13397774336
count-then-move,1,15,32768,16777216,4503,32,13502013440
count-then-move,2,15,32768,16777216,3409,32,13249966080
count-then-move,4,15,32768,16777216,2624,32,13185810432
count-then-move,8,15,32768,16777216,2041,32,13194743808
count-then-move,16,15,32768,16777216,1717,32,13155520512
count-then-move,32,15,32768,16777216,1519,32,13343768576
count-then-move,1,16,65536,16777216,4526,32,13259878400
count-then-move,2,16,65536,16777216,3458,32,13470842880
count-then-move,4,16,65536,16777216,2865,32,13501743104
count-then-move,8,16,65536,16777216,2060,32,13355442176
count-then-move,16,16,65536,16777216,1727,32,13299871744
count-then-move,32,16,65536,16777216,1541,32,13167915008
count-then-move,1,17,131072,16777216,4570,32,12802060288
count-then-move,2,17,131072,16777216,3451,32,13011062784
count-then-move,4,17,131072,16777216,2754,32,13235580928
count-then-move,8,17,131072,16777216,2082,32,13425999872
count-then-move,16,17,131072,16777216,1758,32,13314322432
count-then-move,32,17,131072,16777216,1564,32,13200478208
count-then-move,1,18,262144,16777216,4671,32,12886097920
count-then-move,2,18,262144,16777216,3509,32,12992532480
count-then-move,4,18,262144,16777216,2949,32,12734742528
count-then-move,8,18,262144,16777216,2111,32,12907016192
count-then-move,16,18,262144,16777216,1768,32,13098795008
count-then-move,32,18,262144,16777216,1625,32,12715311104
count-then-move,1,1,2,16777216,4801,32,12754350080
count-then-move,2,1,2,16777216,5328,32,12784513024
count-then-move,4,1,2,16777216,3477,32,12767956992
count-then-move,8,1,2,16777216,3241,32,13121830912
count-then-move,16,1,2,16777216,2991,32,13478010880
count-then-move,32,1,2,16777216,2492,32,13755768832
count-then-move,1,2,4,16777216,4682,32,13729193984
count-then-move,2,2,4,16777216,4999,32,13660782592
count-then-move,4,2,4,16777216,3314,32,13651857408
count-then-move,8,2,4,16777216,2984,32,13556547584
count-then-move,16,2,4,16777216,2699,32,13575626752
count-then-move,32,2,4,16777216,2210,32,13763358720
count-then-move,1,3,8,16777216,4543,32,13451169792
count-then-move,2,3,8,16777216,4915,32,13357522944
count-then-move,4,3,8,16777216,3145,32,13200416768
count-then-move,8,3,8,16777216,2840,32,13042085888
count-then-move,16,3,8,16777216,2351,32,13091901440
count-then-move,32,3,8,16777216,2048,32,13017456640
count-then-move,1,4,16,16777216,4474,32,13285314560
count-then-move,2,4,16,16777216,4363,32,13258219520
count-then-move,4,4,16,16777216,3055,32,13175713792
count-then-move,8,4,16,16777216,2616,32,13143760896
count-then-move,16,4,16,16777216,2206,32,13349433344
count-then-move,32,4,16,16777216,1894,32,13425000448
count-then-move,1,5,32,16777216,4489,32,13341409280
count-then-move,2,5,32,16777216,4239,32,13239418880
count-then-move,4,5,32,16777216,3051,32,13272281088
count-then-move,8,5,32,16777216,2223,32,13493862400
count-then-move,16,5,32,16777216,2046,32,13393350656
count-then-move,32,5,32,16777216,1873,32,13248368640
count-then-move,1,6,64,16777216,4483,32,12936577024
count-then-move,2,6,64,16777216,3999,32,12813217792
count-then-move,4,6,64,16777216,2925,32,12739137536
count-then-move,8,6,64,16777216,2187,32,12681687040
count-then-move,16,6,64,16777216,1866,32,12939141120
count-then-move,32,6,64,16777216,1750,32,13191766016
count-then-move,1,7,128,16777216,4482,32,13082673152
count-then-move,2,7,128,16777216,3730,32,13025234944
count-then-move,4,7,128,16777216,2872,32,12947931136
count-then-move,8,7,128,16777216,2219,32,13182087168
count-then-move,16,7,128,16777216,1741,32,12723142656
count-then-move,32,7,128,16777216,1649,32,12592627712
count-then-move,1,8,256,16777216,4448,32,12544610304
count-then-move,2,8,256,16777216,3666,32,12602146816
count-then-move,4,8,256,16777216,2748,32,12594241536
count-then-move,8,8,256,16777216,2167,32,12545986560
count-then-move,16,8,256,16777216,1769,32,12583731200
count-then-move,32,8,256,16777216,1592,32,12562157568
count-then-move,1,9,512,16777216,4486,32,12769796096
count-then-move,2,9,512,16777216,3543,32,12683431936
count-then-move,4,9,512,16777216,2776,32,12914626560
count-then-move,8,9,512,16777216,2030,32,13100498944
count-then-move,16,9,512,16777216,1784,32,13197963264
count-then-move,32,9,512,16777216,1646,32,13103677440
count-then-move,1,10,1024,16777216,4514,32,12860846080
count-then-move,2,10,1024,16777216,3637,32,12963012608
count-then-move,4,10,1024,16777216,2796,32,13064704000
count-then-move,8,10,1024,16777216,2237,32,13169942528
count-then-move,16,10,1024,16777216,1712,32,13050765312
count-then-move,32,10,1024,16777216,1706,32,13048315904
count-then-move,1,11,2048,16777216,4778,32,13187239936
count-then-move,2,11,2048,16777216,3707,32,13201420288
count-then-move,4,11,2048,16777216,2805,32,13401579520
count-then-move,8,11,2048,16777216,2090,32,13313183744
count-then-move,16,11,2048,16777216,1700,32,13159170048
count-then-move,32,11,2048,16777216,1525,32,13238079488
count-then-move,1,12,4096,16777216,4432,32,12860518400
count-then-move,2,12,4096,16777216,3499,32,12976513024
count-then-move,4,12,4096,16777216,2699,32,13214437376
count-then-move,8,12,4096,16777216,2092,32,12985810944
count-then-move,16,12,4096,16777216,1726,32,12951388160
count-then-move,32,12,4096,16777216,1523,32,12602855424
count-then-move,1,13,8192,16777216,4485,32,12548399104
count-then-move,2,13,8192,16777216,3398,32,12672176128
count-then-move,4,13,8192,16777216,2626,32,12959821824
count-then-move,8,13,8192,16777216,2068,32,13075517440
count-then-move,16,13,8192,16777216,1713,32,13002747904
count-then-move,32,13,8192,16777216,1514,32,12900864000
count-then-move,1,14,16384,16777216,4496,32,12790509568
count-then-move,2,14,16384,16777216,3517,32,12966879232
count-then-move,4,14,16384,16777216,2618,32,13074169856
count-then-move,8,14,16384,16777216,2001,32,13268885504
count-then-move,16,14,16384,16777216,1721,32,13101539328
count-then-move,32,14,16384,16777216,1509,32,13341827072
count-then-move,1,15,32768,16777216,4515,32,12993863680
count-then-move,2,15,32768,16777216,3408,32,12741971968
count-then-move,4,15,32768,16777216,2668,32,12775325696
count-then-move,8,15,32768,16777216,2050,32,12793290752
count-then-move,16,15,32768,16777216,1731,32,12531986432
count-then-move,32,15,32768,16777216,1541,32,12501803008
count-then-move,1,16,65536,16777216,4512,32,12802899968
count-then-move,2,16,65536,16777216,3460,32,12979781632
count-then-move,4,16,65536,16777216,2767,32,12740509696
count-then-move,8,16,65536,16777216,2131,32,12888424448
count-then-move,16,16,65536,16777216,1741,32,12845834240
count-then-move,32,16,65536,16777216,1536,32,12630540288
count-then-move,1,17,131072,16777216,4570,32,12313923584
count-then-move,2,17,131072,16777216,3466,32,12489768960
count-then-move,4,17,131072,16777216,2751,32,12800356352
count-then-move,8,17,131072,16777216,2142,32,13014384640
count-then-move,16,17,131072,16777216,1754,32,12943953920
count-then-move,32,17,131072,16777216,1567,32,12744052736
count-then-move,1,18,262144,16777216,4714,32,12676292608
count-then-move,2,18,262144,16777216,3490,32,12781432832
count-then-move,4,18,262144,16777216,2972,32,12770770944
count-then-move,8,18,262144,16777216,2125,32,12738629632
count-then-move,16,18,262144,16777216,1778,32,12970618880
count-then-move,32,18,262144,16777216,1620,32,12801933312
concurrent-output,1,1,2,16777216,4787,32,12830072832
concurrent-output,2,1,2,16777216,5263,32,13143175168
concurrent-output,4,1,2,16777216,3488,32,13426683904
concurrent-output,8,1,2,16777216,3196,32,13757992960
concurrent-output,16,1,2,16777216,2974,32,13580390400
concurrent-output,32,1,2,16777216,2454,32,13472231424
concurrent-output,1,2,4,16777216,4966,32,13659713536
concurrent-output,2,2,4,16777216,5052,32,13756784640
concurrent-output,4,2,4,16777216,3226,32,13894352896
concurrent-output,8,2,4,16777216,3008,32,13940228096
concurrent-output,16,2,4,16777216,2702,32,13795471360
concurrent-output,32,2,4,16777216,2142,32,13726142464
concurrent-output,1,3,8,16777216,4510,32,13616062464
concurrent-output,2,3,8,16777216,4804,32,13471485952
concurrent-output,4,3,8,16777216,3002,32,13462138880
concurrent-output,8,3,8,16777216,2794,32,13414551552
concurrent-output,16,3,8,16777216,2585,32,13321519104
concurrent-output,32,3,8,16777216,2008,32,13464895488
concurrent-output,1,4,16,16777216,4767,32,13282119680
concurrent-output,2,4,16,16777216,4198,32,13155975168
concurrent-output,4,4,16,16777216,3142,32,13111795712
concurrent-output,8,4,16,16777216,2774,32,13262585856
concurrent-output,16,4,16,16777216,2342,32,13163515904
concurrent-output,32,4,16,16777216,2033,32,13180231680
concurrent-output,1,5,32,16777216,4790,32,13084618752
concurrent-output,2,5,32,16777216,4285,32,13045153792
concurrent-output,4,5,32,16777216,2943,32,13054939136
concurrent-output,8,5,32,16777216,2217,32,13009575936
concurrent-output,16,5,32,16777216,2203,32,12974919680
concurrent-output,32,5,32,16777216,1981,32,12969967616
concurrent-output,1,6,64,16777216,4832,32,12818685952
concurrent-output,2,6,64,16777216,3896,32,12753260544
concurrent-output,4,6,64,16777216,2875,32,12725473280
concurrent-output,8,6,64,16777216,2174,32,12900163584
concurrent-output,16,6,64,16777216,1821,32,12525514752
concurrent-output,32,6,64,16777216,1772,32,12757401600
concurrent-output,1,7,128,16777216,4833,32,12637175808
concurrent-output,2,7,128,16777216,3710,32,12535717888
concurrent-output,4,7,128,16777216,2825,32,12768014336
concurrent-output,8,7,128,16777216,2188,32,13029576704
concurrent-output,16,7,128,16777216,1758,32,12968787968
concurrent-output,32,7,128,16777216,1623,32,12702158848
concurrent-output,1,8,256,16777216,4836,32,12709380096
concurrent-output,2,8,256,16777216,3669,32,12916666368
concurrent-output,4,8,256,16777216,2711,32,12980457472
concurrent-output,8,8,256,16777216,2155,32,12897935360
concurrent-output,16,8,256,16777216,1743,32,12887617536
concurrent-output,32,8,256,16777216,1511,32,13191663616
concurrent-output,1,9,512,16777216,4883,32,13102522368
concurrent-output,2,9,512,16777216,3520,32,13087903744
concurrent-output,4,9,512,16777216,2723,32,13220081664
concurrent-output,8,9,512,16777216,2050,32,13418356736
concurrent-output,16,9,512,16777216,1788,32,13524013056
concurrent-output,32,9,512,16777216,1624,32,13489483776
concurrent-output,1,10,1024,16777216,4944,32,13072138240
concurrent-output,2,10,1024,16777216,3630,32,13215272960
concurrent-output,4,10,1024,16777216,2734,32,13221388288
concurrent-output,8,10,1024,16777216,2079,32,13146828800
concurrent-output,16,10,1024,16777216,2039,32,12929867776
concurrent-output,32,10,1024,16777216,1505,32,12767186944
concurrent-output,1,11,2048,16777216,5278,32,12672081920
concurrent-output,2,11,2048,16777216,3692,32,12657799168
concurrent-output,4,11,2048,16777216,2862,32,12894584832
concurrent-output,8,11,2048,16777216,2061,32,12902162432
concurrent-output,16,11,2048,16777216,1667,32,13054578688
concurrent-output,32,11,2048,16777216,1528,32,12926738432
concurrent-output,1,12,4096,16777216,4910,32,13003497472
concurrent-output,2,12,4096,16777216,3525,32,13040029696
concurrent-output,4,12,4096,16777216,2748,32,12965158912
concurrent-output,8,12,4096,16777216,2054,32,13192720384
concurrent-output,16,12,4096,16777216,1690,32,12839702528
concurrent-output,32,12,4096,16777216,1501,32,13088280576
concurrent-output,1,13,8192,16777216,4464,32,12981784576
concurrent-output,2,13,8192,16777216,3501,32,12877967360
concurrent-output,4,13,8192,16777216,2739,32,13028155392
concurrent-output,8,13,8192,16777216,2055,32,13085413376
concurrent-output,16,13,8192,16777216,1684,32,13304893440
concurrent-output,32,13,8192,16777216,1486,32,13219020800
concurrent-output,1,14,16384,16777216,5055,32,12759166976
concurrent-output,2,14,16384,16777216,3492,32,12917608448
concurrent-output,4,14,16384,16777216,2640,32,13038645248
concurrent-output,8,14,16384,16777216,1952,32,13269831680
concurrent-output,16,14,16384,16777216,1686,32,13215752192
concurrent-output,32,14,16384,16777216,1486,32,13166878720
concurrent-output,1,15,32768,16777216,5089,32,12852633600
concurrent-output,2,15,32768,16777216,3550,32,12627636224
concurrent-output,4,15,32768,16777216,2712,32,12816125952
concurrent-output,8,15,32768,16777216,2075,32,12753358848
concurrent-output,16,15,32768,16777216,1699,32,12693360640
concurrent-output,32,15,32768,16777216,1495,32,12756189184
concurrent-output,1,16,65536,16777216,5198,32,12742828032
concurrent-output,2,16,65536,16777216,3567,32,12593422336
concurrent-output,4,16,65536,16777216,2803,32,12626796544
concurrent-output,8,16,65536,16777216,2036,32,12694790144
concurrent-output,16,16,65536,16777216,1704,32,12631482368
concurrent-output,32,16,65536,16777216,1505,32,12778426368
concurrent-output,1,17,131072,16777216,4585,32,12711841792
concurrent-output,2,17,131072,16777216,3546,32,12789837824
concurrent-output,4,17,131072,16777216,2803,32,12995694592
concurrent-output,8,17,131072,16777216,2047,32,12967469056
concurrent-output,16,17,131072,16777216,1675,32,13200039936
concurrent-output,32,17,131072,16777216,1532,32,13412630528
concurrent-output,1,18,262144,16777216,4742,32,13288382464
concurrent-output,2,18,262144,16777216,3594,32,13183705088
concurrent-output,4,18,262144,16777216,2893,32,13108854784
concurrent-output,8,18,262144,16777216,2097,32,12876238848
concurrent-output,16,18,262144,16777216,1748,32,12704460800
concurrent-output,32,18,262144,16777216,1596,32,12929646592
concurrent-output,1,1,2,16777216,4791,32,12756598784
concurrent-output,2,1,2,16777216,5057,32,12951433216
concurrent-output,4,1,2,16777216,3445,32,13259714560
concurrent-output,8,1,2,16777216,3189,32,13431312384
concurrent-output,16,1,2,16777216,2966,32,13313908736
concurrent-output,32,1,2,16777216,2449,32,13324529664
concurrent-output,1,2,4,16777216,4979,32,13120061440
concurrent-output,2,2,4,16777216,5006,32,13321519104
concurrent-output,4,2,4,16777216,3200,32,13319168000
concurrent-output,8,2,4,16777216,2871,32,13278515200
concurrent-output,16,2,4,16777216,2698,32,13295865856
concurrent-output,32,2,4,16777216,2170,32,13233811456
concurrent-output,1,3,8,16777216,4829,32,12842594304
concurrent-output,2,3,8,16777216,4923,32,12660752384
concurrent-output,4,3,8,16777216,3144,32,12840439808
concurrent-output,8,3,8,16777216,2391,32,13124005888
concurrent-output,16,3,8,16777216,2522,32,13361860608
concurrent-output,32,3,8,16777216,2020,32,13381525504
concurrent-output,1,4,16,16777216,4770,32,13353754624
concurrent-output,2,4,16,16777216,4791,32,13157691392
concurrent-output,4,4,16,16777216,2918,32,13068382208
concurrent-output,8,4,16,16777216,2634,32,13168181248
concurrent-output,16,4,16,16777216,2232,32,13207183360
concurrent-output,32,4,16,16777216,1994,32,13064593408
concurrent-output,1,5,32,16777216,4739,32,12835856384
concurrent-output,2,5,32,16777216,4005,32,12975374336
concurrent-output,4,5,32,16777216,2951,32,12846641152
concurrent-output,8,5,32,16777216,2295,32,12894740480
concurrent-output,16,5,32,16777216,2224,32,13107159040
concurrent-output,32,5,32,16777216,1853,32,12708036608
concurrent-output,1,6,64,16777216,4827,32,12500762624
concurrent-output,2,6,64,16777216,3969,32,12713975808
concurrent-output,4,6,64,16777216,2970,32,12929728512
concurrent-output,8,6,64,16777216,2229,32,12953858048
concurrent-output,16,6,64,16777216,1958,32,12575883264
concurrent-output,32,6,64,16777216,1758,32,12493164544
concurrent-output,1,7,128,16777216,4827,32,12411113472
concurrent-output,2,7,128,16777216,3727,32,12646572032
concurrent-output,4,7,128,16777216,2805,32,13001138176
concurrent-output,8,7,128,16777216,2214,32,13225291776
concurrent-output,16,7,128,16777216,1821,32,13025263616
concurrent-output,32,7,128,16777216,1551,32,13180788736
concurrent-output,1,8,256,16777216,4820,32,12769644544
concurrent-output,2,8,256,16777216,3651,32,12772827136
concurrent-output,4,8,256,16777216,2717,32,12737425408
concurrent-output,8,8,256,16777216,2169,32,12949348352
concurrent-output,16,8,256,16777216,1716,32,12851515392
concurrent-output,32,8,256,16777216,1656,32,13013168128
concurrent-output,1,9,512,16777216,4877,32,12581957632
concurrent-output,2,9,512,16777216,3524,32,12408705024
concurrent-output,4,9,512,16777216,2730,32,12564484096
concurrent-output,8,9,512,16777216,2028,32,12559798272
concurrent-output,16,9,512,16777216,1769,32,12587978752
concurrent-output,32,9,512,16777216,1654,32,12601606144
concurrent-output,1,10,1024,16777216,4931,32,12456521728
concurrent-output,2,10,1024,16777216,3617,32,12627714048
concurrent-output,4,10,1024,16777216,2750,32,12607799296
concurrent-output,8,10,1024,16777216,2068,32,12857069568
concurrent-output,16,10,1024,16777216,1675,32,13023809536
concurrent-output,32,10,1024,16777216,1501,32,12824244224
concurrent-output,1,11,2048,16777216,5283,32,12660473856
concurrent-output,2,11,2048,16777216,3692,32,12829581312
concurrent-output,4,11,2048,16777216,2783,32,12666937344
